date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:08	118/118	---MCZ	200	added ('OK')	text/plain	etag:W/%22643410c1-10e%22	https://ryancv.bslthemes.com/robots.txt		(from )
14:48:09	130353/130353	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Jan%202024%2021:00:21%20GMT	https://ryancv.bslthemes.com/system/	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/index.html	(from )
14:48:09	7021/7021	---M-Z	200	added ('OK')	text/css	etag:%221b6d-60d890f54ad16-gzip%22	https://ryancv.bslthemes.com/system/wp-content/cache/autoptimize/5/css/autoptimize_645e25746732f92ab8912b8a07744c57.css	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-content/cache/autoptimize/5/css/autoptimize_645e25746732f92ab8912b8a07744c57.css	(from https://ryancv.bslthemes.com/system/)
14:48:10	584575/584575	---M-Z	200	added ('OK')	text/css	etag:%228eb7f-60d890f54ad16-gzip%22	https://ryancv.bslthemes.com/system/wp-content/cache/autoptimize/5/css/autoptimize_af24c4bf69532a56851e3836cb572269.css	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-content/cache/autoptimize/5/css/autoptimize_af24c4bf69532a56851e3836cb572269.css	(from https://ryancv.bslthemes.com/system/)
14:48:10	3412/3412	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Dec%202023%2002:54:39%20GMT	https://bslthemes.com/bslthms-advanced-btns/assets/style.css	C:/My%20Web%20Sites/begatis%20potforlio/bslthemes.com/bslthms-advanced-btns/assets/style.css	(from https://ryancv.bslthemes.com/system/)
14:48:11	2125/2125	---M-Z	200	added ('OK')	text/css	etag:%2284d-5fe7fdb703408-gzip%22	https://ryancv.bslthemes.com/system/wp-content/cache/autoptimize/5/css/autoptimize_single_d6c4c5774dd10fdbd9078ae08570a86d.css	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-content/cache/autoptimize/5/css/autoptimize_single_d6c4c5774dd10fdbd9078ae08570a86d.css	(from https://ryancv.bslthemes.com/system/)
14:48:11	20244/20244	---M-Z	200	added ('OK')	text/css	etag:%224f14-605a73373ffbb-gzip%22	https://ryancv.bslthemes.com/system/wp-content/cache/autoptimize/5/css/autoptimize_single_d43b95c909d22c7fafcf61de6c1834cf.css	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-content/cache/autoptimize/5/css/autoptimize_single_d43b95c909d22c7fafcf61de6c1834cf.css	(from https://ryancv.bslthemes.com/system/)
14:48:11	1091/1091	---M-Z	200	added ('OK')	text/css	etag:%22443-6078a212c22ec-gzip%22	https://ryancv.bslthemes.com/system/wp-content/cache/autoptimize/5/css/autoptimize_single_c4cb8ce92895c980d522733035579fbf.css	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-content/cache/autoptimize/5/css/autoptimize_single_c4cb8ce92895c980d522733035579fbf.css	(from https://ryancv.bslthemes.com/system/)
14:48:12	87553/87553	---M-Z	200	added ('OK')	application/javascript	etag:%2215601-60a6d395bc08a-gzip%22	https://ryancv.bslthemes.com/system/wp-includes/js/jquery/jquery.min.js	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-includes/js/jquery/jquery.min.js	(from https://ryancv.bslthemes.com/system/)
14:48:12	18832/18832	---M-Z	200	added ('OK')	application/rss+xml	etag:%22dbaf3392fc23bb59dbb3f34462fe1415-gzip%22	https://ryancv.bslthemes.com/system/feed/	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/feed/index.html	(from https://ryancv.bslthemes.com/system/)
14:48:12	6689/6689	---M-Z	200	added ('OK')	application/rss+xml	etag:%22dbaf3392fc23bb59dbb3f34462fe1415-gzip%22	https://ryancv.bslthemes.com/system/comments/feed/	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/comments/feed/index.html	(from https://ryancv.bslthemes.com/system/)
14:48:14	108/108	---MC-	401	error ('Unauthorized')	application/json	date:Sat,%2006%20Jan%202024%2012:48:38%20GMT	https://ryancv.bslthemes.com/system/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fryancv.bslthemes.com%2Fsystem%2F	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-json/oembed/1.0/embed0cdb	(from https://ryancv.bslthemes.com/system/)
14:48:16	167/167	---MC-	401	error ('Unauthorized')	text/xml	date:Sat,%2006%20Jan%202024%2012:48:40%20GMT	https://ryancv.bslthemes.com/system/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fryancv.bslthemes.com%2Fsystem%2F&format=xml	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-json/oembed/1.0/embeddca2	(from https://ryancv.bslthemes.com/system/)
14:48:16	1513/1513	---M--	200	added ('OK')	image/png	etag:%225e9-5fa6829d7392a%22	https://ryancv.bslthemes.com/system/wp-content/uploads/sites/5/2023/04/cropped-logo4n-32x32.png	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-content/uploads/sites/5/2023/04/cropped-logo4n-32x32.png	(from https://ryancv.bslthemes.com/system/)
14:48:16	16316/16316	---M--	200	added ('OK')	image/png	etag:%223fbc-5fa6829d62f89%22	https://ryancv.bslthemes.com/system/wp-content/uploads/sites/5/2023/04/cropped-logo4n-192x192.png	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-content/uploads/sites/5/2023/04/cropped-logo4n-192x192.png	(from https://ryancv.bslthemes.com/system/)
14:48:17	14999/14999	---M--	200	added ('OK')	image/png	etag:%223a97-5fa6829d6faaa%22	https://ryancv.bslthemes.com/system/wp-content/uploads/sites/5/2023/04/cropped-logo4n-180x180.png	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-content/uploads/sites/5/2023/04/cropped-logo4n-180x180.png	(from https://ryancv.bslthemes.com/system/)
14:48:17	347/347	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20Jan%202024%2012:48:42%20GMT	https://ryancv.bslthemes.com/system/wp-content/themes/ryancv	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-content/themes/ryancv	(from https://ryancv.bslthemes.com/system/)
14:48:18	111009/111009	---M--	200	added ('OK')	image/png	etag:%221b1a1-5f911e163e3c1%22	https://ryancv.bslthemes.com/system/wp-content/uploads/sites/5/2022/07/avatar1.png	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-content/uploads/sites/5/2022/07/avatar1.png	(from https://ryancv.bslthemes.com/system/)
14:48:19	8193/8193	---M--	200	added ('OK')	image/png	etag:%222001-5f911e293f796%22	https://ryancv.bslthemes.com/system/wp-content/uploads/sites/5/2022/07/brand3-184x62.png	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-content/uploads/sites/5/2022/07/brand3-184x62.png	(from https://ryancv.bslthemes.com/system/)
14:48:19	57827/57827	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jan%202024%2020:50:27%20GMT	https://ryancv.bslthemes.com/system/2020/04/28/a-song-and-dance-act/	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/2020/04/28/a-song-and-dance-act/index.html	(from https://ryancv.bslthemes.com/system/)
14:48:19	59436/59436	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jan%202024%2020:50:25%20GMT	https://ryancv.bslthemes.com/system/2020/04/28/by-spite-about-do-of-allow/	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/2020/04/28/by-spite-about-do-of-allow/index.html	(from https://ryancv.bslthemes.com/system/)
14:48:19	56154/56154	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jan%202024%2020:50:27%20GMT	https://ryancv.bslthemes.com/system/2020/04/28/music-player-design/	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/2020/04/28/music-player-design/index.html	(from https://ryancv.bslthemes.com/system/)
14:48:19	5561/5561	---M--	200	added ('OK')	image/png	etag:%2215b9-5f911e28a52d5%22	https://ryancv.bslthemes.com/system/wp-content/uploads/sites/5/2022/07/brand1_w-184x62.png	C:/My%20Web%20Sites/begatis%20potforlio/ryancv.bslthemes.com/system/wp-content/uploads/sites/5/2022/07/brand1_w-184x62.png	(from https://ryancv.bslthemes.com/system/)
